"Codice articolo","Descrizione","Categoria","Prezzo"
"DP18-KIT-SAN","Kit per montaggio stampante Sanei su DP40","GRUPPI E SEMILAVORATI","593,883"
"DP40-KIT-98-R","Kit Pos Ingenico Self 2000 per DP40 RICAMBIO","GRUPPI E SEMILAVORATI","1242"
"","","","0"
"","","","0"
"","","#N/D","0"
"","","#N/D","0"
"","","#N/D","0"
"","KIT TABACCHI ","","0"
"","","#N/D","0"
"DS60-KIT-CR3","Kit per sostituzione Lettore di carta da CR006 a CR003","#N/D","447,925"
"codice?","KIT SOST. MONITOR DS 55 DA MON-001+TOUCH-003 A MON-016","#N/D","0"
"codice?","KIT SOST. MONITOR DS 60 DA MON-001+TOUCH-003 A MON-016","#N/D","0"
"GDP-STAMP-KIT1","Kit stampante Sanei completo","#N/D","528,333"
"DS-KIT-FP","Kit Impronta Digitale finger print per DS con elettronica nuova","#N/D","694,6115"
"GDS-KIT-12","Kit aggiunta secondo lettore bancanote per DS55/DS60","#N/D","1042,935"
"DS55-KIT-98-R","Kit Pos Ingenico Self 2000 per DS55 - RICAMBIO","#N/D","1158,993"
"DS55-KIT-01-R","Kit per trinciato x DS55 - Ricambio","#N/D","39,961"
"DS55-KIT-04-R","Kit 10 silos aggiuntivi per DS55 per invio a macchina installata","#N/D","984,285"
"DS60-KIT-96-R","Kit Pos Ingenico Self 2000 per DS60 con scheda PC","#N/D","934,95"
"DS60-KIT-01-R","Kit per trinciato x DS60 - Ricambio","#N/D","113,6868"
"DS60-KIT-04-R","Kit 10 silos aggiuntivi per DS60 RICAMBIO","ACCESSORIO","1095,582"
"DS60-KIT-03-R","Kit 20 silos aggiuntivi per DS60 RICAMBIO","#N/D","2024,529"
"DS60-KIT-02-N","Kit modulo ""Gratta & Vinci"" per nuova elettronica  DS60/DS55","#N/D","1077,435"
"","","","0"
"","","","0"
"","","","0"
"MPOINT-097","Toppa chiusura foro gruppo Inserim. Monete x Mini e Micro P.-Inox","CARPENTERIE","11,10144"
"","","","0"
"SUPP-GETT-S10","Supporto per gettoniera S10 E P10 (colore nero)","GETTONIERE","8,496"
"MH521-N1","Scheda Power + I/O x cassa DP60 e T40","SCHEDE ELETTRONICHE","158,497"
"MCV677","Cabl. dp18 motore sportello a motore elettrico","CAVI/CABLAGGI","23,6"
"MCV677.2","Cabl. dp18 motore sportello a connettore","CAVI/CABLAGGI","23,6"
"MCV1029","Cabalggio Tasti 1-4 > MH585  - DP8 New","CAVI/CABLAGGI","26,94"
"DS20-171C","Grondaia per Lettore di banconote per DS20 - PRZ","CARPENTERIE","6,216"
"DP40-AD-PORT-DUREX","Adesivo copertura portello ritiro prodotto DP40 - Logo Durex","PARTI PLASTICHE","29,185"
"DD60-214","Lamiera supporto motoriduttore vasca rotativa DD60-PRZ","CARPENTERIE","16,52"
"DP40-079","Asta lucchetto DP40 - Inox","CARPENTERIE","22,5144"
"XS-01-ASS","Spintore per DP/DD","GRUPPI E SEMILAVORATI","87,555"
"SCH-USD-16GB","Scheda SD 16 GB","SCHEDE ELETTRONICHE","31,43"
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
